m,n,k,time_us
5,925,19,24
185,1,95,55
925,5,19,42
1,185,95,29
3515,19,5,77
5,5,19,20
5,5,19,11
1,1,95,30
5,925,19,24
25,25,361,84
1,185,95,42
361,1,185,50
1,1,4625,30
19,5,925,779
1,1,185,24
95,1,185,24
25,1,185,20
95,95,95,82
5,5,925,53
25,361,185,176
95,1,95,30
95,185,95,152
25,25,185,43
95,185,95,149
95,185,95,157
5,5,3515,163
95,95,95,81
5,5,3515,164
95,95,95,77
1,1,17575,40
19,5,3515,263
95,95,95,89
5,3515,19,74
19,5,5,27
5,3515,19,61
95,1,185,35
95,95,95,80
19,19,925,780
19,925,5,36
95,185,1,16
19,925,5,31
1805,5,5,28
1805,5,5,25
475,19,19,42
475,19,19,37
25,361,25,44
361,361,185,1787
361,25,361,330
95,95,185,137
5,19,925,56
19,19,5,24
95,95,95,78
5,19,19,20
5,925,19,25
185,1,95,46
925,5,19,39
1,185,95,138
3515,19,5,75
5,5,19,18
5,5,19,11
1,1,95,28
5,925,19,24
25,25,361,83
1,185,95,33
361,1,185,54
1,1,4625,29
19,5,925,779
1,1,185,25
95,1,185,22
25,1,185,20
95,95,95,80
5,5,925,54
25,361,185,176
95,1,95,31
95,185,95,152
25,25,185,42
95,185,95,148
95,185,95,151
5,5,3515,163
95,95,95,84
5,5,3515,161
95,95,95,77
1,1,17575,39
19,5,3515,266
95,95,95,78
5,3515,19,64
19,5,5,22
5,3515,19,65
95,1,185,37
95,95,95,86
19,19,925,785
19,925,5,40
95,185,1,17
19,925,5,30
1805,5,5,28
1805,5,5,25
475,19,19,46
475,19,19,42
25,361,25,39
361,361,185,1790
361,25,361,331
95,95,185,138
5,19,925,57
19,19,5,27
95,95,95,80
5,19,19,19
5,925,19,26
185,1,95,33
925,5,19,42
1,185,95,64
3515,19,5,82
5,5,19,20
5,5,19,12
1,1,95,30
5,925,19,22
25,25,361,82
1,185,95,34
361,1,185,52
1,1,4625,36
19,5,925,777
1,1,185,23
95,1,185,24
25,1,185,21
95,95,95,88
5,5,925,68
25,361,185,175
95,1,95,32
95,185,95,152
25,25,185,44
95,185,95,160
95,185,95,158
5,5,3515,162
95,95,95,80
5,5,3515,162
95,95,95,80
1,1,17575,43
19,5,3515,263
95,95,95,78
5,3515,19,61
19,5,5,20
5,3515,19,60
95,1,185,30
95,95,95,79
19,19,925,636
19,925,5,34
95,185,1,15
19,925,5,28
1805,5,5,25
1805,5,5,25
475,19,19,45
475,19,19,39
25,361,25,41
361,361,185,1783
361,25,361,362
95,95,185,138
5,19,925,55
19,19,5,28
95,95,95,75
5,19,19,17
5,925,19,24
185,1,95,35
925,5,19,40
1,185,95,33
3515,19,5,83
5,5,19,21
5,5,19,13
1,1,95,30
5,925,19,22
25,25,361,83
1,185,95,29
361,1,185,52
1,1,4625,28
19,5,925,779
1,1,185,23
